table,table_description,column,dtype,non_null,example_values
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_id,string,3018,"[""00100"", ""00120"", ""00130""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,postal_code,string,3018,"[""00100"", ""00120"", ""00130""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_name,string,3018,"[""Helsinki keskusta - Etu-Töölö"", ""Punavuori - Bulevardi"", ""Kaartinkaupunki""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_name_sv,string,3018,"[""Helsingfors centrum - Främre Tölö"", ""Rödbergen - Bulevarden"", ""Gardesstaden""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,municipality_code,string,3018,"[""091"", ""091"", ""091""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,paavo_year_geometry,int64,3018,"[""2026"", ""2026"", ""2026""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_m2,int64,3018,"[""2353278"", ""414010"", ""428960""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_km2,float64,3018,"[""2.353278"", ""0.41401"", ""0.42896""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,lat,float64,3018,"[""60.1704070554749"", ""60.16372986316543"", ""60.16447470623334""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,lon,float64,3018,"[""24.923510858314422"", ""24.938584537844307"", ""24.950055578909822""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,centroid_method,string,3018,"[""epsg3067_xy"", ""epsg3067_xy"", ""epsg3067_xy""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,geometry_json,string,3018,"[""{\""type\"": \""Polygon\"", \""coordinates\"": [[[385653.8928, 6671591.0475], [385573.6195, 6671699.8005], [385612.6593, 6671729.657"", ""{\""type\"": \""Polygon\"", \""coordinates\"": [[[385316.092, 6671076.9841], [385279.6115, 6671123.567], [385255.4782, 6671158.3638]"", ""{\""type\"": \""Polygon\"", \""coordinates\"": [[[386212.1112, 6671061.2623], [386176.8264, 6671111.8884], [386039.1539, 6671107.178""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,population,Float64,3018,"[""18492.0"", ""7297.0"", ""1731.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,population_source_metric,string,3018,"[""asukkaat_yhteensa_he"", ""asukkaat_yhteensa_he"", ""asukkaat_yhteensa_he""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,men,Float64,2954,"[""8758.0"", ""3396.0"", ""837.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,men_source_metric,string,3018,"[""miehet_he"", ""miehet_he"", ""miehet_he""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,women,Float64,2954,"[""9734.0"", ""3901.0"", ""894.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,women_source_metric,string,3018,"[""naiset_he"", ""naiset_he"", ""naiset_he""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,employed_residents_paavo,Float64,2954,"[""10107.0"", ""3979.0"", ""952.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,employed_residents_paavo_source_metric,string,3018,"[""tyolliset_pt"", ""tyolliset_pt"", ""tyolliset_pt""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,unemployed_paavo,Float64,2954,"[""834.0"", ""332.0"", ""76.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,unemployed_paavo_source_metric,string,3018,"[""tyottomat_pt"", ""tyottomat_pt"", ""tyottomat_pt""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,jobs_paavo,Float64,3018,"[""0.0"", ""0.0"", ""0.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,jobs_paavo_source_metric,string,3018,"[""tyopaikat_yhteensa_tp"", ""tyopaikat_yhteensa_tp"", ""tyopaikat_yhteensa_tp""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,households,Float64,3018,"[""10544.0"", ""4086.0"", ""942.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,households_source_metric,string,3018,"[""taloudet_yhteensa_te"", ""taloudet_yhteensa_te"", ""taloudet_yhteensa_te""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,median_income,Float64,2944,"[""34408.0"", ""35106.0"", ""38690.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,median_income_source_metric,string,3018,"[""asukkaiden_mediaanitulot_hr"", ""asukkaiden_mediaanitulot_hr"", ""asukkaiden_mediaanitulot_hr""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,higher_education,Float64,2944,"[""3987.0"", ""1490.0"", ""317.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,higher_education_source_metric,string,3018,"[""alimman_korkea_asteen_tai_alemman_korkeakoulututkinnon_suorittaneet_ko"", ""alimman_korkea_asteen_tai_alemman_korkeakoulututkinnon_suorittaneet_ko"", ""alimman_korkea_asteen_tai_alemman_korkeakoulututkinnon_suorittaneet_ko""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,population_density_km2,Float64,3018,"[""7857.975130860017"", ""17625.178135793823"", ""4035.3412905632226""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,municipality_name_indicator,string,155,"[""HVA91 Ahvenanmaa"", ""HVA91 Ahvenanmaa"", ""HVA91 Ahvenanmaa""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,"Työllisyysaste, 18-64-vuotiaat, %",float64,155,"[""81.4"", ""81.4"", ""81.4""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,"Työttömyysaste, 18-64-vuotiaat, %",float64,155,"[""5.2"", ""5.2"", ""5.2""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,Taloudellinen huoltosuhde,float64,155,"[""110.0"", ""110.0"", ""110.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,bus,Int64,3018,"[""1363"", ""1363"", ""1363""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,motorcycle_moped,Int64,3018,"[""12489"", ""12489"", ""12489""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,other,Int64,3018,"[""15906"", ""15906"", ""15906""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,passenger_car,Int64,3018,"[""213956"", ""213956"", ""213956""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,trailer,Int64,3018,"[""41204"", ""41204"", ""41204""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,truck,Int64,3018,"[""5462"", ""5462"", ""5462""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,van,Int64,3018,"[""23122"", ""23122"", ""23122""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,vehicles_total,Int64,3018,"[""313502"", ""313502"", ""313502""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_traffic_mean,Float64,2986,"[""29376.846859562454"", ""29376.846859562454"", ""29376.846859562454""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_traffic_p90,float64,2986,"[""72847.0"", ""72847.0"", ""72847.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_traffic_sum,Int64,2986,"[""41626992"", ""41626992"", ""41626992""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_traffic_count,Int64,2986,"[""1417"", ""1417"", ""1417""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_nearest_distance_m,float64,3018,"[""930.5938196845407"", ""1650.9168862033719"", ""2232.4425069018807""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_nearest_id,string,3018,"[""liikennemaarat.2922"", ""liikennemaarat.2922"", ""liikennemaarat.2922""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_nearest_name,string,0,[]
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_count_3000m,int64,3018,"[""8"", ""3"", ""3""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_kvl_sum_3000m,float64,3018,"[""76369.0"", ""56340.0"", ""56340.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_count_10000m,int64,3018,"[""328"", ""295"", ""274""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_kvl_kvl_sum_10000m,float64,3018,"[""3751698.0"", ""3461027.0"", ""3243358.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,passenger_cars_per_employed,Float64,0,[]
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,vehicle_pressure_score,float64,3018,"[""1.0"", ""1.0"", ""1.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,road_traffic_score,Float64,3018,"[""0.8508593826654657"", ""0.8748559763038907"", ""0.8895442426943319""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,car_pressure_score,float64,3018,"[""0.9328867221994596"", ""0.9436851893367508"", ""0.9502949092124494""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_nearest_distance_m,float64,3018,"[""130.6948475785894"", ""107.63986237482459"", ""152.70533203271376""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_nearest_id,string,3018,"[""gtfs_001359"", ""gtfs_000982"", ""gtfs_001071""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_nearest_name,string,3018,"[""Hanken"", ""Iso Roobertinkatu"", ""Eteläranta""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_count_800m,int64,3018,"[""67"", ""83"", ""50""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_stop_time_rows_sum_800m,float64,3018,"[""301797.0"", ""398707.0"", ""249617.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_count_1500m,int64,3018,"[""202"", ""193"", ""168""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_stop_time_rows_sum_1500m,float64,3018,"[""960459.0"", ""878044.0"", ""746043.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_count_3000m,int64,3018,"[""456"", ""363"", ""386""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,gtfs_stop_time_rows_sum_3000m,float64,3018,"[""2146399.0"", ""1695533.0"", ""1787131.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_stop_nearest_distance_m,float64,3018,"[""101.64892417735614"", ""97.94176472149975"", ""129.79568363116186""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_stop_nearest_id,string,3018,"[""164708"", ""166008"", ""303348""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_stop_nearest_name,string,3018,"[""Hanken"", ""Iso Roobertinkatu"", ""Pohj. Makasiinikatu""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_stop_count_800m,int64,3018,"[""131"", ""166"", ""114""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_stop_count_1500m,int64,3018,"[""343"", ""370"", ""337""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,digiroad_stop_count_3000m,int64,3018,"[""830"", ""694"", ""732""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,nearest_transit_stop_distance_m,float64,3018,"[""101.64892417735614"", ""97.94176472149975"", ""129.79568363116186""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,stop_access_score,float64,3018,"[""1.0"", ""1.0"", ""1.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,transit_service_score,Float64,3018,"[""1.0"", ""1.0"", ""1.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,transit_access_service_score,Float64,3018,"[""1.0"", ""1.0"", ""1.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_nearest_distance_m,float64,3018,"[""943.0494026657238"", ""856.3912886239548"", ""884.0233453317363""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_nearest_id,string,3018,"[""HKI"", ""HKI"", ""HKI""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_nearest_name,string,3018,"[""Helsinki asema"", ""Helsinki asema"", ""Helsinki asema""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_count_2000m,int64,3018,"[""1"", ""1"", ""1""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_rail_total_services_2025_sum_2000m,float64,3018,"[""148615.0"", ""148615.0"", ""148615.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_count_5000m,int64,3018,"[""8"", ""5"", ""4""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_rail_total_services_2025_sum_5000m,float64,3018,"[""517837.0"", ""504864.0"", ""413906.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_count_10000m,int64,3018,"[""21"", ""19"", ""19""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_rail_total_services_2025_sum_10000m,float64,3018,"[""1272085.0"", ""1196413.0"", ""1196413.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_service_score,Float64,3018,"[""0.9963541094351133"", ""0.994423950618435"", ""0.9893890222041422""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_access_score,float64,3018,"[""0.9844511518841604"", ""0.9938705121060919"", ""0.9908670276813331""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,rail_combined_score,Float64,3018,"[""0.9909977785371846"", ""0.9941749032878806"", ""0.9900541246688781""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_nearest_distance_m,float64,3018,"[""420.8030132350022"", ""667.8737509606293"", ""756.6024464062119""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_nearest_id,string,3018,"[""930"", ""1265"", ""1249""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_nearest_name,string,3018,"[""Kampinkuja"", ""Simonkatu"", ""Helsingin yliopisto""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_count_2000m,int64,3018,"[""18"", ""18"", ""17""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_capacity_total_sum_2000m,float64,3018,"[""1731.0"", ""1731.0"", ""1590.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_count_5000m,int64,3018,"[""45"", ""41"", ""39""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_capacity_total_sum_5000m,float64,3018,"[""4265.0"", ""4095.0"", ""3999.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_count_10000m,int64,3018,"[""194"", ""181"", ""182""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_capacity_total_sum_10000m,float64,3018,"[""16272.0"", ""15257.0"", ""15261.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,liipi_score,Float64,3018,"[""0.9989473021771212"", ""0.9872896518726331"", ""0.9813140132367344""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,od_rows,float64,25,"[""18.0"", ""18.0"", ""18.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,od_success_rows,Float64,25,"[""12.0"", ""13.0"", ""12.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,transit_minutes_median,Float64,16,"[""211.0333333333333"", ""278.2"", ""190.05833333333334""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,estimated_car_minutes_median,Float64,25,"[""158.4086253710684"", ""173.02553205828778"", ""106.25154902454722""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,transit_to_car_ratio_median,Float64,16,"[""1.3967042422937799"", ""1.317283955959382"", ""1.6251997771773872""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,transit_competitive_share,float64,25,"[""0.3333333333333333"", ""0.5"", ""0.1111111111111111""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,avg_transfers,float64,16,"[""2.25"", ""2.3846153846153846"", ""2.0833333333333335""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,od_success_rate,Float64,25,"[""0.6666666666666666"", ""0.7222222222222222"", ""0.6666666666666666""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,travel_time_competitiveness_score,Float64,25,"[""0.614871353596236"", ""0.7019341538856216"", ""0.44157343731721926""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,od_sampled,bool,3018,"[""False"", ""False"", ""False""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,travel_time_competitiveness_score_filled,Float64,484,"[""0.614871353596236"", ""0.614871353596236"", ""0.614871353596236""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,population_final,float64,3018,"[""18492.0"", ""7297.0"", ""1731.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,employed_residents_final,Float64,3018,"[""10107.0"", ""3979.0"", ""952.0""]"
