area_id,postal_code,area_name,municipality_code,lat,lon,population_final,employed_residents_final,estimated_commuters_base,estimated_car_commute_share,estimated_switchers,jspi_score,jspi_score_original,jspi_score_v2,national_absolute_potential_score,national_absolute_potential_rank,underused_transit_potential_score,underused_transit_potential_rank,primary_analysis_view,potential_persons_score,underuse_score,car_pressure_score,emission_congestion_score,ad_feasibility_score,public_transport_service_score,accessibility_score,travel_time_competitiveness_score_final,nearest_transit_stop_distance_m,rail_nearest_distance_m,liipi_nearest_distance_m,recommended_campaign_type,recommendation_reason,message_angle,data_confidence_score,data_confidence_level,commuting_data_source,confidence_missing_reasons,rank
00640,00640,Oulunkylä - Patola,091,60.233185369105485,24.957195557260942,8719.0,4159.0,1455.6499999999999,0.7188911739816656,935.7192076656498,92.4,90.2,92.4,98.5,60,97.7,9,balanced,0.9968118042209712,0.7040137498318614,0.938266748283642,0.895290414589166,0.9947570899676701,0.9999736725782498,0.9964986646604574,0.9985836694111327,66.67283947996188,717.053927125429,401.02982637877403,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,12
00170,00170,Kruununhaka,091,60.172758449278625,24.95637195027334,7385.0,4036.0,1412.6,0.7197328272086196,914.7825481358924,92.4,90.2,92.4,97.9,68,97.9,6,balanced,0.9935187187229756,0.7070244430275462,0.9429601511589988,0.8952037709665374,0.9999654185763616,0.9996541857636168,1.0,0.99979251145817,4.816314462770725,795.404496673166,498.7429372153959,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,13
00400,00400,Pohjois-Haaga,091,60.22853458644959,24.897651204035263,9187.0,4408.0,1542.8,0.7170958330846102,994.3443697737407,92.2,89.9,92.2,98.9,49,97.4,14,balanced,1.0,0.6963012858194576,0.928310183803391,0.8944948123865843,0.9989277339216726,1.0,0.9992605061528776,0.9997042024611511,111.92118853437425,770.1657813783348,423.6443536289132,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,14
00120,00120,Punavuori - Bulevardi,091,60.16372986316543,24.938584537844307,7297.0,3979.0,1392.6499999999999,0.7198633340806151,894.0576725201715,92.2,90.1,92.2,97.6,75,97.8,7,balanced,0.9901839438856708,0.7073828577653369,0.9436851893367508,0.8937275556866697,0.9945573039979618,0.9985437258219703,0.9952900409946813,0.9972422518910546,97.94176472149975,856.3912886239548,667.8737509606293,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,15
00610,00610,Käpylä,091,60.211768210291396,24.956314972998026,7993.0,3984.0,1394.3999999999999,0.7199704184797473,881.0462682351341,92.1,90.0,92.1,97.6,76,97.6,12,balanced,0.9880506295392499,0.7076325878114554,0.9442801026652636,0.8944822026496554,0.9865745611493233,0.996659253376537,0.9860076901912073,0.9923986281024052,76.53321783104745,1073.1988349854223,912.0373452944825,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,16
00180,00180,Kamppi - Ruoholahti,091,60.16194759268494,24.910835884790366,14784.0,7687.0,2690.45,0.7155887138466546,1639.139514466292,91.9,89.6,91.9,99.8,15,96.2,29,balanced,1.0,0.6844547491364611,0.9199303329415388,0.9199303329415388,0.984015760523306,0.9850539639627671,0.9692400175348023,0.9787283853915811,169.0303001551481,1908.1340642176278,160.77055116163874,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,17
00350,00350,Munkkivuori - Niemenmäki,091,60.208081129477776,24.86000093970567,9914.0,5157.0,1804.9499999999998,0.7231874619359824,1067.9142637374339,91.9,89.9,91.9,99.1,39,95.7,34,balanced,1.0,0.6799668069051422,0.9380138725941408,0.9275862897211106,0.9659298401373796,0.9528440530857984,0.9629770717763491,0.9568972605620187,147.3688733345996,1695.295451713844,1073.096535338019,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,18
00270,00270,Pohjois-Meilahti,091,60.193909853396704,24.903060336242913,7220.0,3888.0,1360.8,0.7214142615982919,819.2418046501328,91.7,89.7,91.7,96.6,85,97.0,19,balanced,0.9774675155992433,0.7119980171785893,0.9523014533238447,0.89833481857933,0.962461831746756,0.9892720399520547,0.9584101493337199,0.9769272837047208,102.47065927330793,1677.3087328097592,1593.0252598784684,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,19
00220,00220,Jätkäsaari,091,60.15368001018816,24.918023091491243,11152.0,6269.0,2194.1499999999996,0.7206039602344921,1228.5150668287758,91.6,89.7,91.6,99.2,36,94.6,53,balanced,1.0,0.6665515579641934,0.9422309737033444,0.9422309737033444,0.9535672957213623,0.9221135097208992,0.9451231124767439,0.9313173508232371,68.32568159710414,2306.1294850141726,990.4046909002799,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,20
00720,00720,Pukinmäki,091,60.246248869315785,24.989127816912102,9079.0,3897.0,1363.9499999999998,0.7183358513981285,872.2161026731046,91.6,89.3,91.6,97.7,73,97.1,18,balanced,0.9865848582198945,0.6970208707679578,0.9322090360065788,0.8797286061083917,0.9936829459267819,0.995514792358797,0.9959527356488981,0.9956899696748375,28.847279691311524,496.10725155548704,441.51098273530937,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,21
